time_s,vel_z_mps,deflection_deg,target_deg
0,0,0,0
0.01,0.297,0,0
0.016,0.83,0,0
0.025,1.813,0,0
0.035,2.858,0,0
0.045,3.854,0,0
0.048,4.143,0,0
0.052,4.575,0,0
0.059,5.227,0,0
0.069,6.202,0,0
0.079,7.188,0,0
0.089,8.186,0,0
0.099,9.195,0,0
0.111,10.396,0,0
0.121,11.389,0,0
0.129,12.301,0,0
0.138,13.152,0,0
0.145,13.951,0,0
0.152,14.709,0,0
0.163,15.853,0,0
0.173,16.92,0,0
0.188,18.525,0,0
0.202,20.038,0,0
0.223,22.303,0,0
0.255,25.679,0,0
0.261,26.338,0,0
0.27,27.324,0,0
0.284,28.794,0,0
0.305,30.982,0,0
0.334,33.95,0,0
0.377,38.373,0,0
0.427,43.498,0,4
0.477,48.62,4,4
0.498,50.755,4,4
0.529,53.954,4,4
0.576,58.739,4,4
0.602,61.364,4,4
0.641,65.294,4,4
0.691,70.364,4,4
0.705,71.812,4,4
0.726,73.986,4,4
0.759,77.254,4,4
0.802,81.673,4,4
0.852,86.771,4,8
0.902,91.859,8,8
0.952,96.914,8,8
1,101.715,8,8
1.025,104.251,8,8
1.057,107.507,8,8
1.1,111.801,8,8
1.139,115.747,8,8
1.189,120.803,8,8
1.205,122.385,8,8
1.229,124.738,8,8
1.265,128.242,8,4
1.298,131.425,4,4
1.336,135.155,4,4
1.386,140.03,4,4
1.4,141.344,4,4
1.421,143.295,4,4
1.452,146.198,4,4
1.5,150.525,4,4
1.55,155.051,4,4
1.595,159.188,4,4
1.634,162.727,4,4
1.652,164.259,4,4
1.679,166.403,4,0
1.716,169.12,0,0
1.743,170.847,0,0
1.784,172.779,0,0
1.8,173.328,0,0
1.825,173.935,0,0
1.862,174.416,0,0
1.9,174.378,0,0
1.95,173.681,0,0
1.97,173.237,0,0
1.973,173.158,0,0
1.976,173.035,0,0
1.982,172.85,0,0
1.99,172.574,0,0
2.003,172.161,0,0
2.022,171.544,0,0
2.05,170.625,0,0
2.093,169.261,0,0
2.143,167.685,0,0
2.193,166.131,0,0
2.243,164.599,0,0
2.293,163.088,0,0
2.343,161.597,0,0
2.393,160.127,0,0
2.443,158.675,0,0
2.493,157.243,0,0
2.543,155.829,0,0
2.593,154.433,0,0
2.643,153.055,0,0
2.693,151.694,0,0
2.743,150.35,0,0
2.793,149.022,0,0
2.843,147.71,0,0
2.893,146.414,0,0
2.943,145.133,0,-2
2.993,143.867,-2,-2
3.043,142.616,-2,-2
3.093,141.379,-2,-2
3.143,140.156,-2,-2
3.193,138.946,-2,-2
3.243,137.75,-2,-2
3.293,136.567,-2,-2
3.343,135.397,-2,-2
3.393,134.239,-2,-2
3.443,133.093,-2,-2
3.493,131.96,-2,-2
3.543,130.838,-2,-2
3.593,129.728,-2,-2
3.643,128.629,-2,-2
3.693,127.54,-2,-2
3.743,126.463,-2,-2
3.793,125.397,-2,-2
3.843,124.34,-2,-4
3.893,123.294,-4,-4
3.943,122.258,-4,-4
3.993,121.231,-4,-4
4.043,120.215,-4,-4
4.093,119.207,-4,-4
4.143,118.209,-4,-4
4.193,117.22,-4,-4
4.243,116.239,-4,-4
4.293,115.268,-4,-4
4.343,114.305,-4,-4
4.393,113.35,-4,-4
4.443,112.403,-4,-4
4.493,111.464,-4,-4
4.543,110.534,-4,-4
4.593,109.611,-4,-4
4.643,108.696,-4,-4
4.693,107.788,-4,-4
4.743,106.887,-4,-4
4.793,105.994,-4,-4
4.843,105.108,-4,-4
4.893,104.229,-4,-6
4.943,103.356,-6,-6
4.993,102.491,-6,-6
5.043,101.632,-6,-6
5.093,100.779,-6,-6
5.143,99.933,-6,-6
5.193,99.093,-6,-6
5.243,98.259,-6,-6
5.293,97.432,-6,-6
5.343,96.61,-6,-6
5.393,95.794,-6,-6
5.443,94.984,-6,-6
5.493,94.179,-6,-6
5.543,93.38,-6,-6
5.593,92.587,-6,-6
5.643,91.799,-6,-6
5.693,91.016,-6,-6
5.743,90.238,-6,-6
5.793,89.466,-6,-6
5.843,88.699,-6,-6
5.893,87.936,-6,-6
5.943,87.179,-6,-6
5.993,86.426,-6,-6
6.043,85.678,-6,-6
6.093,84.934,-6,-6
6.143,84.195,-6,-8
6.193,83.461,-8,-8
6.243,82.731,-8,-8
6.293,82.005,-8,-8
6.343,81.284,-8,-8
6.393,80.567,-8,-8
6.443,79.854,-8,-8
6.493,79.145,-8,-8
6.543,78.44,-8,-8
6.593,77.739,-8,-8
6.643,77.042,-8,-8
6.693,76.349,-8,-8
6.743,75.66,-8,-8
6.793,74.974,-8,-8
6.843,74.292,-8,-8
6.893,73.614,-8,-8
6.943,72.939,-8,-8
6.993,72.267,-8,-8
7.043,71.599,-8,-8
7.093,70.935,-8,-8
7.143,70.274,-8,-8
7.193,69.616,-8,-8
7.243,68.961,-8,-8
7.293,68.31,-8,-8
7.343,67.661,-8,-8
7.393,67.016,-8,-8
7.443,66.374,-8,-8
7.493,65.735,-8,-8
7.543,65.098,-8,-8
7.593,64.465,-8,-8
7.643,63.834,-8,-6
7.693,63.207,-6,-6
7.743,62.582,-6,-6
7.793,61.96,-6,-6
7.843,61.34,-6,-6
7.893,60.724,-6,-6
7.943,60.109,-6,-6
7.993,59.498,-6,-6
8.043,58.889,-6,-6
8.093,58.282,-6,-6
8.143,57.678,-6,-6
8.193,57.076,-6,-6
8.243,56.477,-6,-6
8.293,55.88,-6,-6
8.343,55.285,-6,-6
8.393,54.693,-6,-6
8.443,54.103,-6,-6
8.493,53.515,-6,-6
8.543,52.929,-6,-6
8.593,52.346,-6,-6
8.643,51.764,-6,-6
8.693,51.185,-6,-6
8.743,50.607,-6,-6
8.793,50.032,-6,-6
8.843,49.459,-6,-6
8.893,48.887,-6,-6
8.943,48.318,-6,-6
8.993,47.75,-6,-6
9.043,47.184,-6,-6
9.093,46.62,-6,-6
9.143,46.058,-6,-6
9.193,45.498,-6,-6
9.243,44.939,-6,-6
9.293,44.382,-6,-6
9.343,43.827,-6,-4
9.393,43.274,-4,-4
9.443,42.722,-4,-4
9.493,42.171,-4,-4
9.543,41.623,-4,-4
9.593,41.076,-4,-4
9.643,40.53,-4,-4
9.693,39.986,-4,-4
9.743,39.443,-4,-4
9.793,38.902,-4,-4
9.843,38.362,-4,-4
9.893,37.824,-4,-4
9.943,37.287,-4,-4
9.993,36.751,-4,-4
10.043,36.217,-4,-4
10.093,35.684,-4,-4
10.143,35.153,-4,-4
10.193,34.622,-4,-4
10.243,34.093,-4,-4
10.293,33.565,-4,-4
10.343,33.038,-4,-4
10.393,32.513,-4,-4
10.443,31.989,-4,-4
10.493,31.465,-4,-4
10.543,30.943,-4,-4
10.593,30.422,-4,-4
10.643,29.902,-4,-4
10.693,29.383,-4,-4
10.743,28.865,-4,-4
10.793,28.348,-4,-4
10.843,27.832,-4,-4
10.893,27.318,-4,-4
10.943,26.804,-4,-4
10.993,26.29,-4,-4
11.043,25.778,-4,-4
11.093,25.267,-4,-4
11.143,24.757,-4,-4
11.193,24.247,-4,-4
11.243,23.738,-4,-2
11.293,23.23,-2,-2
11.343,22.723,-2,-2
11.393,22.217,-2,-2
11.443,21.711,-2,-2
11.493,21.207,-2,-2
11.543,20.702,-2,-2
11.593,20.199,-2,-2
11.643,19.696,-2,-2
11.693,19.194,-2,-2
11.743,18.693,-2,-2
11.793,18.192,-2,-2
11.843,17.692,-2,-2
11.893,17.192,-2,-2
11.943,16.693,-2,-2
11.993,16.194,-2,-2
12.043,15.697,-2,-2
12.093,15.199,-2,-2
12.143,14.702,-2,-2
12.193,14.206,-2,-2
12.243,13.71,-2,-2
12.293,13.214,-2,-2
12.343,12.719,-2,-2
12.393,12.225,-2,-2
12.443,11.73,-2,-2
12.493,11.236,-2,-2
12.543,10.743,-2,-2
12.593,10.25,-2,-2
12.643,9.757,-2,-2
12.693,9.264,-2,-2
12.743,8.772,-2,-2
12.793,8.28,-2,-2
12.843,7.788,-2,-2
12.893,7.297,-2,-2
12.943,6.805,-2,-2
12.993,6.314,-2,-2
13.043,5.824,-2,-2
13.093,5.333,-2,-2
13.143,4.843,-2,-2
13.193,4.352,-2,-2
13.243,3.862,-2,-2
13.293,3.372,-2,0
13.343,2.882,0,0
13.393,2.393,0,0
13.443,1.903,0,0
13.493,1.413,0,0
13.543,0.924,0,0
13.593,0.434,0,0
